anaoxygenic photosynthesis	A type of photosynthesis in green and purple bacteria in which oxygen is not produced
dextrocardia	/decks-troh-KARD-ee-yə/ n
penultimate	next to the last.
invasive	Tending to penetrate healthy tissue.
angstrom	A unit of length equal to 10-10 m.
protein translocator	Membrane-bound protein that mediates the transport of another protein across an organelle membrane.
glycoprotein	a membrane-bound protein which has attached branching carbohydrates
antero	to the front; anteriorly.
l2	One of three hybrid crosses used to detect linkage
frameshift	Since the genetic code is read three bases at a time, if reading begins at either the second or third base of a codon, a faulty product usualy results
broth culture	Microorganisms grown in a liquid medium.
anaplerotic reaction	An enzyme-catalyzed reaction that can replenish the supply of intermediates in the citric acid cycle.
essential amino acid	an amino acid that is required for protein synthesis but that must be obtained from the diet because the body cannot synthesize it
antigen	A foreign substance (usually proteinaceous or high molecular weight polysaccharide) which induces the formation of antibodies
fundamentalism	The belief that creation stories and the many events and rules given in religious documents (for example, the Judeo-Christian Bible, the Moslem Koran) are to be taken literally.
invasion biology	The study of species that become invasive in a system and their impacts on the system they have invaded, as well as the remediation of such invasions.
phytoplankton	Algae and photosynthetic bacteria that drift passively in the peJagic zone of an aquatic environment.
radioactive isotope	An isotope (an atomic form of a chemical element) that is unstable; the nucleus decays spontaneously, giving off detectable particles and energy
age-specific survival rate	Proportion of individuals which survive from the beginning of one age class to the next.
induction	An increase in the expression of a gene in response to a change in the activity of a regulatory protein.
aids-related complex	Prodromal symptoms in patients infected with HIV virus, including lymphadenopathy, fever, weight loss, and malaise.
holoenzyme	An intact enzyme containing all of its subunits and any necessary cofactors with full enzymatic activity.
dna replicase system	The entire complex of enzymes and specialized proteins required in biological DNA replication
transcriptional repressor	A regulatory element that binds a DNA transcription control sequence to repress the transcription of genes.
biosurface	The surface structure of individual molecules, cells, and more complex biological systems.
afb	Acid-fast bacilli.
pruinose	hoary: as if covered with a fine frost or dust.
cellular immunity	Type of immunity resulting from T cells, which recognize antigens found on the surfaces of self cells.
birth control pills	Chemical contraceptives that inhibit ovulation, retard follicular development, or alter a woman's cervical mucus to prevent sperm from entering the uterus.
amplification	In a sequence of enzyme-catalyzed biochemical reactions, an increase in the number of reacting molecules resulting from the fact that one enzyme molecule can catalyze the formation of more than one product molecule.
wilt	A plant disease in which bacteria invade the vessels of herbaceous plants, interfere with movement of water and nutrients, and produce certain toxins that cause wilting and the eventual death of the plant.
polysome	A complex of an mRNA molecule and two or more ribo
disposed	arranged or laid out.
serratulate	with little teeth or serrations.
blastula	An early embryonic form produced by cleavage of a fertilized ovum and usually consisting of a single layer of cells surrounding a fluid-filled spherical cavity.
ligand	Any molecule that binds to a specific site on a protein or other molecule
consensus sequence	A DNA or amino acid sequence consisting of the residues that occur most commonly at each position within a set of similar sequences.
decurrent	closely attached to and running down another body.
determined	In developmental biology, an embryonic cell is said to be determined if it has become committed to a particular specialized path of development
anion	When a salt is dissolved it has two charged molecules: a cation (positively charged) which can behave as an acid and an anion (negatively charged) which can act as a base
checkpoint	Point in the eucaryotic cell-division cycle where progress through the cycle can be halted until conditions are suitable for the cell to proceed to the next stage.
oi	Opportunistic Infection
restriction endonuclease	Enzyme that recognizes and cleaves specific DNA sequence, generating either blunt or single-stranded (sticky) ends.
blue mould	a downy mildew of tobacco, caused by Peronospora tabacina (Peronosporales: Oomycota).
polymer	a naturally occurring or synthetic compound consisting of large molecules made up of a linked series of repeated simple monomers
dimethyl sulfate	/die-METH-əl/ A colorless oily liquid with an onionish aroma
