frequency modulation synthesis	See Wave Table Synthesis.
decomposition	The act of dividing up one or more authored units during creation of a set of perceivable units appropriate for a particular delivery context
command	In shell programming, the syntactic combination of a program name and its arguments
wrl	File extension
intensity	Intensity is also known as chroma or saturation
dot com	An informal name for the type of company created specifically as an e-commerce operation
edu	The Internet top-level domain for educational institutions (universities, schools, etc).
service	Something you do for someone else to make them happy, like giving them the time of day (or of their life)
bit shift	The movement of bits left or right in a computer word, which has the effect of multiplying or dividing by a power of 2.
separator	A character or string that keeps two surrounding strings from being confused with each other
du	Distribution Unit
pumpkin	A notional "baton" handed around the Perl community indicating who is the lead integrator in some arena of development.
impact printer	A type of computer printer that uses an ink ribbon and some device to physically bang the ribbon on the paper.
function	A collection of JavaScript statements that perform a particular operation
osk	On-Screen Keyboard
increment	To increase the value of a variable, usually by 1.
library	Generally, a collection of procedures
active perceivable unit	A perceivable unit that is currently being rendered by the user agent and with which interaction may be possible.
proportional font	A font in which each character has a different width, for example a small "i" is much narrower than a capital "M"
iframe	Inline frame
ripper	See "DAC".
xlk	File extension
ieee	Acronym for Institute of Electrical and Electronics Engineers
mimo	Multiple input, multiple output
double quote	" (see that entry).
discussion group	See News.
user locale	Setting that determines formats and sort orders for date, time, currency, and so on
boolean	A value that is either true or false.
distribution	A standard, bundled release of a system of software
mesh	In computer graphics, an internal representation of the shape of a 3D object, usually in the form of numerous polygons
pots	Plain Old Telephone System
vpowerd	Sometimes spuriously listed as having failed to load in Bootlog.txt
isp	An Internet Service Provider is a company that provides access to the Internet
setgid	Same as setuid, only having to do with giving away group privileges.
hci	Human Computer Interaction
ad markup language	Markup for Advertisements
hive	Any of the top-level branches of the Registry.
syntax	From Greek, "with-arrangement"
