cable	A molding design resembling intertwined rape.
music drama	Wagner's concept of music theater in which the drama and the music were theoretically of equal interest
photomontage	(pronounced photo-mon
bodhisattva	one of many enlightened Buddhist deities who delay their own nirvana in order to help mortals attain enlightenment.
power tier	An option for the da Vinci 2K that adds 2 extra color channels to the system
proof	Test sheet made to reveal errors or flaws, predict results on press and record how a printing job is intended to appear when finished.
hepatology	the study of the liver; a branch of medicine
stock	A term for unprinted paper or other material to be printed.
contract administration	Managing the relationship with the vendor.
brightness temperature	The equivalent blackbody temperature at a specified wavelength of a uniform source filling the resolution element of the telescope.
value-at-risk customers	Any high-value, high-yield customer with a high propensity to churn.
taf	âTelecine Analysis Filmâ
linotype	manufacturers of a range of high resolution phototypesetting machines such as the 100, 202, 300 and 500
cross head	a heading set in the body of the text used to break it into easily readable sections.
lpi	Refers to Lines Per Inch, a measurement of how tight together the dots in a halftone screen are, and generally indicated the quality level of printed material
flag	1
section	a diagrammatic representation of a building intersected by a vertical plane.
swash book	A book in a variety of forms, indicating specific stock in specific colors in a specific thickness.
high definition	1
print zone	The size of the image area from the lead edge to the tail edge of the sheet
rubato	Romantic technique of "robbing" from the tempo at some points and "paying back"at others
hammer head	A headline that uses a big, bold word or phrase for impact and runs a small, wide deck below.
die	Design, letters or shapes, cut into metal (mostly brass) for stamping book covers or embossing
skid	A pallet used for a pile of cut sheets.
absolute music	instrumental music based on abstract principles of music theory and form
